"issue.date","song","artist","year","lyrics"
"January 5","The Chipmunk Song (Christmas Don't Be Late) (Classic Version)","Alvin and the Chipmunks",1959,"   dave   alright you chipmunks  ready to sing your song  alvin   i would say we are theodore   yeah  lets sing it now  dave   okay  simon  simon   ok dave   okay  theodore  theodore   ok dave   okay alvin    alvin    alvin    alvin   okay   chipmunks   christmas  christmas time is near time for toys and time for cheer we have been good  but we can not last hurry christmas  hurry fast want a plane that loops the loop alvin   me  i want a hula hoop chipmunks   we can hardly stand the wait please christmas do not be late dave   ok fellas  get ready  that was very good  simon  simon   naturally  dave   very good theodore theodore   he he he he dave   uh alvin  you were a little flat watch it  alvin   alvin    alvin    alvin   okay   chipmunks   want a plane that loops the loop alvin   i still want a hula hoop chipmunks   we can hardly stand the wait please christmas do not be late we can hardly stand the wait please christmas do not be late "
"January 19","Smoke Gets in Your Eyes","The Platters",1959,"  they asked me how i knew my true love was true i of course replied something here inside can not be denied they  said some day you will find all who love are blind when your heart on fire you must realize smoke gets in your eyes so i chaffed them  and i gaily laughed to think they could doubt my love and yet today  my love has flown away i am without my love now laughing friends deride tears i cannot hide so i smile and say when a lovely flame dies smoke gets in your eyes smoke gets in your eyes "
"February 9","Stagger Lee","Lloyd Price",1959,"  the night was dark and the moon was yellow and the leaves came tumblin  down 1 2 3 4 1 i was standin  on the corner when i heard my bull dog bark he was barkin  at the two men who was gamblin  in the dark it was stagger lee and billy  two men who gambled late stagger lee threw a seven  billy swore that he threw eight  oh now  stagger lee    cried billy    i can not let you go with that   you have won all my money and my brand new stetson hat  oh now  stagger lee went home  he got afraid his  44 he said   i am goin  to the ballroom just to pay that debt i owe  go now  go oh now  stagger lee went to the ballroom and he stood behind the door he said   nobody moves    and he pulled his  44  yeah now  stagger lee    cried billy    oh  please  do not take my life   i have got three little children and a very sickly wife  yeah now  stagger lee he shot billy  yeah  you know  he shot that poor boy so bad that a bullet went through billy and broke the bartender bar  go  stagger lee   go  stagger lee  "
"March 9","Venus","Frankie Avalon",1959,"  hey  venus oh  venus venus  if you will please send a little girl for me to thrill a girl who wants my kisses and my arms a girl with all the charms of you venus  make her fair a lovely girl with sunlight in her hair and take the brightest stars up in the skies and place them in her eyes for me venus  goddess of love that you are surely the things i ask ca not be too great a task venus  if you do i promise that i always will be true i will give her all the love i have to give as long as we both shall live venus  goddess of love that you are surely the things i ask ca not be too great a task venus if you do i promise that i always will be true i will give her all the love i have to give as long as we both shall live hey  venus oh  venus make my wish come true "
"April 13","Come Softly to Me","The Fleetwoods",1959,"  mm dooby do  dahm dahm  dahm do dahm ooby do dahm dahm  dahm do dahm  ooby do dahm dahm  dahm do dahm  ooby do dahm dahm  dahm ooh dahm mm dooby do  come softly  darling   come softly  darling   come softly  darling   come softly  darling   come softly  darling   come to me  stay   you are my ob session   for ever and a day  i want  want you to know i love  i love you so please hold  hold me so tight all through  all through the night  speak softly  darling   hear what i say   i love you always   always  always  i have waited  waited so long for your kisses and your love please come  come to me from up  from up above  come softly  darling   come softly  darling  i need  need you so much wanna feel your warm touch mm dooby do  dahm dahm  dahm do dahm ooby do dahm dahm  dahm do dahm  ooby do dahm dahm  dahm do dahm  ooby do dahm dahm  dahm ooh dahm mm dooby do  dahm dahm  dahm do dahm ooby do dahm dahm  dahm do dahm  ooby do dahm dahm  dahm do dahm  ooby do dahm dahm  dahm ooh dahm "
"May 11","The Happy Organ","Dave ""Baby"" Cortez",1959,NA
"May 18","Kansas City","Wilbert Harrison",1959," i am going to kansas city kansas city here i come i am going to kansas city kansas city here i come they got a crazy way of loving there and i am gonna get me somei will be standing on the corner on the corner of twelfth street and vine i am gonna be standing on the corner on the corner of twelfth street and vine with my kansas city baby and a bottle of kansas city winewell i might take a train i might take a plane but if i have to walk i am gonna get there just the same i am going to kansas city kansas city here i come they got a crazy way of loving there and i am gonna get me somei am gonna pack my clothes leave at the break of dawn i am gonna pack my clothes everybody will be sleeping nobody will know where i have gone cause if i stay in town i know i am gonna die gotta find a friendly city and that the reason why i am going to kansas city kansas city here i come they got a crazy way of loving there and i am gonna get me some "
"June 1","The Battle of New Orleans","Johnny Horton",1959,"  in 1814 we took a little trip along with colonel jackson down the mighty mississip we took a little bacon and we took a little beans and we caught the bloody british in the town of new orleans we fired our guns and the british kept a comin  there was not nigh as many as there was a while ago we fired once more and they began to runnin  on down the mississippi to the gulf of mexico we looked down the river and we seen the british come and there must have been a hunnerd of  em beatin on the drum they stepped so high and they made their bugles ring we stood beside our cotton bales  n  did not say a thing we fired our guns and the british kept a comin  there was not nigh as many as there was a while ago we fired once more and they began to runnin  on down the mississippi to the gulf of mexico old hickory said we could take  em by surprise if we did not fire our muskets till we looked  em in the eye we held our fire  till we seed their faces well then we opened up the squirrel guns and really gave em well we fired our guns and the british kept a comin  there was not nigh as many as there was a while ago we fired once more and they began to runnin  on down the mississippi to the gulf of mexico yeah they ran through the briars and they ran through the brambles and they ran through the bushes where a rabbit could not go they ran so fast that the hounds could not catch  em on down the mississippi to the gulf of mexico we fired our cannon till the barrel melted down so we grabbed an alligator and we fought another round we filled his head with cannonballs and powered his behind and when we touched the powder off the gator lost his mind we fired our guns and the british kept a comin  there was not nigh as many as there was a while ago we fired once more and they began to runnin  on down the mississippi to the gulf of mexico yeah they ran through the briars and they ran through the brambles and they ran through the bushes where a rabbit could not go they ran so fast that the hounds could not catch  em on down the mississippi to the gulf of mexico hup  2  3  4 sound off  3  4 hup  2  3  4 sound off  3  4 hup  2  3  4 sound off  3  4 "
"July 13","Lonely Boy","Paul Anka",1959,"  i am just a lonely boy lonely and blue i am all alone with nothin  to do i have got everything you could think of but all i want is someone to love someone  yes  someone to love someone to kiss someone to hold at a moment like this i would like to hear somebody say i will give you my love each night and day i am just a lonely boy lonely and blue i am all alone with nothin  to do i have got everything you could think of but all i want is someone to love somebody  somebody somebody  please send her to me i will make her happy just wait and see i prayed so hard to the heavens above that i might find someone to love i am just a lonely boy lonely and blue i am all alone with nothin  to do i have got everything you could think of but all i want is someone to love "
"August 10","A Big Hunk o' Love","Elvis Presley",1959,"  hey baby  i ai not askin  much of you no no no no no no no no baby  i ai not askin  much of you just a big a big a hunk o  love will do do not be a stingy little mama you are  bout to starve me half to death well you can spare a kiss or two and still have plenty left  no no no baby  i ai not askin  much of you just a big a big a hunk o  love will do you are just a natural born beehive filled with honey to the top well i ai not greedy baby all i want is all you got  no no no baby  i ai not askin  much of you just a big a big a hunk o  love will do i got wishbone in my pocket i got a rabbit foot  round my wrist you know i would have all the things these lucky charms could bring if you would give me just one sweet kiss  no no no no no no no baby  i ai not askin  much of you just a big a big a hunk o  love will do "
