"issue.date","song","artist","year","lyrics"
"February 7","Venus","Shocking Blue",1970,"    a goddess on a mountain top was burning like a silver flame the summit of beauty and love and venus was her name she got it yeah baby  she got it well  i am your venus i am your fire at your desire well  i am your venus i am your fire at your desire her weapons were her crystal eyes making every man mad black as the dark night she was got what no one else had she got it yeah baby  she got it well  i am your venus i am your fire at your desire well  i am your venus i am your fire at your desire she got it yeah baby  she got it well  i am your venus i am your fire at your desire well  i am your venus i am your fire at your desire "
"September 11","Go Away Little Girl","Donny Osmond",1971,"    go away little girl go away little girl i am not supposed to be alone with you i know that your lips are sweet but our lips must never meet i am dating somebody else and i must be true oh  go away little girl  go away little girl  go away little girl  go away little girl  it hurting me more each minute that we delay when you are near me like this you are much too hard to resist so go away little girl before i beg you to stay  go away little girl  go away little girl  go away little girl  oh  go away little girl  it hurts me more the more that we delay  when you are near me like this you are much too hard to resist so  go away little girl let call it a day little girl please  go away little girl before i beg you to stay  go away  go away little girl  go away  go away little girl  go away  please  go away little girl  go away  go away little girl  go away  "
"June 2","My Love","Paul McCartney",1973,"    and when i go away i know my heart can stay with my love it understood  it in the hands of my love and my love does it good wo wo wo wo  wo wo wo wo my love does it good and when the cupboard bare i will still find somethin  there with my love it understood  it everywhere with my love and my love does it good wo wo wo wo  wo wo wo wo my love does it good oh  i love  oh  my love only my love holds the other key to me oh  my love  oh  my love only my love does it good to me wo wo wo wo  wo wo wo wo my love does it good do not ever ask me why lord  i never say goodbye to my love it understood  it everywhere with my love and my love  she does it good wo wo wo wo  wo wo wo wo wo wo wo wo wo wo wo wo my love does it good oh  i love  oh  my love only my love does it good to me wo wo wo wo wo wo wo wo wo "
"May 4","The Loco-Motion","Carole King",1974,"    everybody doin  a brand new dance now come on  baby  do the locomotion i know you will get to like it if you give it a chance now come on  baby  do the locomotion my little baby sister can do it with ease it easier than learning your abc so come on  come on  do the locomotion with me you gotta swing your hips now come on  baby  jump up  jump back oh  well  i think you have got the knack now that you can do it let make a chain now come on  baby  do the locomotion chug a chug a motion like a railroad train now come on  baby  do the locomotion do it nice and easy now and do not lose control a little bit of rhythm and a lot of soul come on  come on  do the locomotion with me move around the floor in a locomotion come on  baby  do the locomotion do it holdin  hands if you get the notion come on  baby  do the locomotion there never been a dance that so easy to do it even makes you happy when you are feeling blue come on  come on  do the locomotion with me "
"January 25","Please Mr. Postman","The Carpenters",1975,"     stop  oh yes  wait a minute mister postman  wait  wait mister postman please mister postman  look and see  oh yeah  if there a letter in your bag for me  please  please mister postman  why it takin  such a long time  oh yeah  for me to hear from that boy of mine there must be some word today from my boyfriend so far away please mister postman  look and see if there a letter  a letter for me i have been standin  here waitin  mister postman so patiently for just a card  or just a letter sayin  he returnin  home to me  mister postman  mister postman  look and see  oh yeah  if there a letter in your bag for me  please  please mister postman  why it takin  such a long time  oh yeah  for me to hear from that boy of mine so many days you passed me by see the tears standin  in my eyes you did not stop to make me feel better by leavin  me a card or a letter  mister postman  mister postman  look and see  oh yeah  if there a letter in your bag for me  please  please mister postman  why it takin  such a long time  why do not you check it and see one more time for me  you gotta  wait a minute wait a minute wait a minute wait a minute  mister postman  mister postman  look and see  c amon deliver the letter  the sooner the better  mister postman "
"September 27","I'm Sorry","John Denver",1975,"    it cold here in the city  it always seems that way  and i have been thinking about you almost every day  thinking about the good times  thinking about the rain  thinking about how bad it feels alone again  i am sorry for the way things are in china  i am sorry things ai not what they used to be  more than anything else  i am sorry for myself cause you are not here with me  our friends all ask about you  i say you are doing fine  i expect to hear from you almost anytime  they all know i am crying  and i can not sleep at night  they all know i am dying down deep inside  i am sorry for all the lies i told you  i am sorry for the things i did not say  but more than anything else  i am sorry for myself  i can not believe you went away  i am sorry if i took some things for granted  i am sorry for the chains i put on you  but more than anything else  i am sorry for myself for living without you  "
"August 20","Best of My Love","The Emotions",1977,"    does not take much to make me happy and make me smile with glee never never will i feel discouraged cause our love no mystery demonstrating love and affection that you give so openly yeah i like the way you make me feel about you baby want the whole wide world to see whoa whoa  you got the best of my love whoa whoa  you got the best of my love whoa whoa  you got the best of my love whoa whoa  you got the best of my love goin  in and out of changes the kind that come around each day my life has a better meaning love has kissed me in a beautiful way and oh yea  my love  my love  oh yea  my love  my love  oh  you got the best of my love whoa whoa  you got the best of my love whoa whoa  you got the best of my love whoa whoa  you got the best of my love demonstrating sweet love and affection that you give so openly yeah the way i feel about you baby can not explain it want the whole wide world to see oh  but in my heart you are all i need you for me and me for you  my love  my love  oh  it growin  every day  oh  my love  my love  oh  oh oh oh oh oh you have got the best of my love oh  oh oh oh oh oh you have got the best of my love oh  givin  you the best of my love my love  my love  my love oh  givin  you the best of my love my love  my love  oh yeah oh  oh oh oh oh oh you have got the best of my love oh  oh oh oh oh oh you have got the best of my love oh  givin  you the best of my love oh  givin  you the best of my love "
"January 1","Maneater","Hall & Oates",1983,"    she will only come out at nights the lean and hungry type nothing is new i have seen her here before watching and waiting ooh  she sittin  with you but her eyes are on the door so many have paid to see what you think you are gettin  for free the woman is wild a she cat tamed by the purr of a jaguar money the matter if you are in it for love you ai not gonna get too far  oh oh  here she comes  watch out boy she will chew you up  oh oh  here she comes  she a maneater  oh oh  here she comes  watch out boy she will chew you up  oh oh  here she comes  she a maneater i would not if i were you i know what she can do she deadly man and she could really rip your world apart mind over matter ooh  the beauty is there but a beast is in the heart  oh oh  here she comes  watch out boy she will chew you up  oh oh  here she comes  she a maneater  oh oh  here she comes  watch out boy she will chew you up  oh oh  here she comes  she a maneater instrumental interlude  ooooooooh  oh oh  here she comes  here she comes watch out boy she will chew you up  whoa oh  here she comes  watch out  she a maneater  oh oh  here she comes   she a maneater  ooh  she will chew you up  oh oh  here she comes  here she comes  she a maneater  oh oh  here she comes   watch out  she will only come out at night  ooh oh  oh oh  here she comes  here she comes she a maneater  oh oh  here she comes   she a maneater  the woman is wild  whoooa  oh oh  here she comes  here she comes watch out boy  watch out boy  oh oh  here she comes  oh  watch out  watch out watch out  watch out  oh oh  here she comes   yeah  yeah  she a maneater  oh oh  here she comes   she a maneater  she watching and waiting  ooh oh  oh oh  here she comes  oh  she a maneater "
"September 6","Venus","Bananarama",1986,"    goddess on the mountain top burning like a silver flame the summit of beauty and love and venus was her name she got it yeah  baby  she got it i am your venus  i am your fire at your desire well  i am your venus  i am your fire at your desire her weapons were her crystal eyes making every man mad black as the dark night she was got what no one else had wah  she got it yeah  baby  she got it i am your venus  i am your fire at your desire well  i am your venus  i am your fire at your desire venus she got it yeah  baby  she got it i am your venus  i am your fire at your desire well  i am your venus  i am your fire at your desire goddess on the mountain top burning like a silver flame the summit of beauty and love and venus was her name wah  she got it yeah  baby  she got it i am your venus  i am your fire at your desire well  i am your venus  i am your fire at your desire venus was her name yeah baby she got it yeah baby she got it yeah baby she got it yeah baby she got it "
"March 21","Lean on Me","Bill Withers",1987,"    sometimes in our lives we all have pain  we all have sorrow  but if we are wise  we know that there always tomorrow  lean on me when you are not strong i will be your friend  i will help you carry on for it will not be long  til i am gonna need somebody to lean on  please swallow your pride if i have things you need to borrow for no one can fill those of your needs that you will not let show  you just call on me  brother  when you need a hand we all need somebody to lean on  i just might have a problem that you will understand  we all need somebody to lean on  lean on me when you are not strong and i will be your friend i will help you carry on for it will not be long  til i am gonna need somebody to lean on you just call on me  brother  when you need a hand we all need somebody to lean on  i just might have a problem that you will understand  we all need somebody to lean on  if there is a load you have to bear that you can not carry i am right up the road i will share your load if you just call me  call me if you need a friend call me  call me  uh huh call me when you need a friend call me if you ever need a friend call me  call me call me  call me call me  call me call me  call me call me if you need a friend call me  call me call me  call me call me  call me call me  call me call me "
