"issue.date","song","artist","year","lyrics"
"January 5","The Chipmunk Song (Christmas Don't Be Late) (Classic Version)","Alvin and the Chipmunks",1959,"

[Dave:] Alright you Chipmunks, Ready to sing your song?[Alvin:] I'd say we are[Theodore:] Yeah, Lets sing it now![Dave:] Okay, Simon?[Simon:] OK[Dave:] Okay, Theodore?[Theodore:] OK[Dave:] Okay Alvin?...Alvin?...ALVIN!!![Alvin:] OKAY!![Chipmunks:]
Christmas, Christmas time is near
Time for toys and time for cheer
We've been good, but we can't last
Hurry Christmas, hurry fast
Want a plane that loops the loop[Alvin:] Me, I want a Hula-Hoop[Chipmunks:]
We can hardly stand the wait
Please Christmas don't be late[Dave:] Ok Fellas, Get ready.
That was very good, Simon.[Simon:] Naturally![Dave:] Very Good Theodore[Theodore:] He He He He[Dave:] Uh Alvin, You were a little flat
Watch it, Alvin...Alvin?...ALVIN!!![Alvin:] OKAY!![Chipmunks:]
Want a plane that loops the loop[Alvin:] I still want a Hula-Hoop[Chipmunks:]
We can hardly stand the wait
Please Christmas don't be late
We can hardly stand the wait
Please Christmas don't be late
"
"January 19","Smoke Gets in Your Eyes","The Platters",1959,"

They asked me how I knew
My true love was true
I of course replied
Something here inside
Can not be denied
They, said some day you'll find
All who love are blind
When your heart's on fire
You must realize
Smoke gets in your eyes
So I chaffed them, and I gaily laughed
To think they could doubt my love
And yet today, my love has flown away
I am without my love
Now laughing friends deride
Tears I cannot hide
So I smile and say
When a lovely flame dies
Smoke gets in your eyes
Smoke gets in your eyes
"
"February 9","Stagger Lee","The Youngbloods",1959,"

The night was dark and the moon was yellow
And the leaves came tumblin' down
1 2 3 4 1
I was standin' on the corner when I heard my bull dog bark
He was barkin' at the two men who was gamblin' in the dark
It was Stagger Lee and Billy, two men who gambled late
Stagger Lee threw a seven, Billy swore that he threw eight
'Oh now, Stagger Lee' - cried Billy - 'I can't let you go with that'
'You have won all my money and my brand-new Stetson hat'
Oh now, Stagger Lee went home, he got afraid his .44
He said: 'I'm goin' to the ballroom just to pay that debt I owe'
Go now, go
Oh now, Stagger Lee went to the ballroom and he stood behind the door
He said: 'Nobody moves' - and he pulled his .44
'Yeah now, Stagger Lee' - cried Billy - 'oh, please, don't take my life'
'I've got three little children and a very sickly wife'
Yeah now, Stagger Lee he shot Billy, yeah, you know, he shot that poor boy so bad
That a bullet went through Billy and broke the bartender's bar
(Go, Stagger Lee)
(Go, Stagger Lee)
"
"March 9","Venus","Barry Manilow",1959,"

Hey, Venus
Oh, Venus
Venus, if you will
Please send a little girl for me to thrill
A girl who wants my kisses and my arms
A girl with all the charms of you
Venus, make her fair
A lovely girl with sunlight in her hair
And take the brightest stars up in the skies
And place them in her eyes for me
Venus, goddess of love that you are
Surely the things I ask
Can't be too great a task
Venus, if you do
I promise that I always will be true
I'll give her all the love I have to give
As long as we both shall live
Venus, goddess of love that you are
Surely the things I ask
Can't be too great a task
Venus if you do
I promise that I always will be true
I'll give her all the love I have to give
As long as we both shall live
Hey, Venus
Oh, Venus
Make my wish come true
"
"April 13","Come Softly to Me","Bobby Vinton",1959,"

Mm dooby do, dahm dahm, dahm do dahm ooby do
Dahm dahm, dahm do dahm, ooby do
Dahm dahm, dahm do dahm, ooby do
Dahm dahm, dahm ooh dahm
Mm dooby do
(Come softly, darling)
(Come softly, darling)
(Come softly, darling)
(Come softly, darling)
(Come softly, darling)
(Come to me, stay)
(You're my ob-session)
(For ever and a day)
I want, want you to know
I love, I love you so
Please hold, hold me so tight
All through, all through the night
(Speak softly, darling)
(Hear what I say)
(I love you always)
(Always, always)
I've waited, waited so long
For your kisses and your love
Please come, come to me
From up, from up above
(Come softly, darling)
(Come softly, darling)
I need, need you so much
Wanna feel your warm touch
Mm dooby do, dahm dahm, dahm do dahm ooby do
Dahm dahm, dahm do dahm, ooby do
Dahm dahm, dahm do dahm, ooby do
Dahm dahm, dahm ooh dahm
Mm dooby do, dahm dahm, dahm do dahm ooby do
Dahm dahm, dahm do dahm, ooby do
Dahm dahm, dahm do dahm, ooby do
Dahm dahm, dahm ooh dahm
"
"May 11","The Happy Organ","Dave ""Baby"" Cortez",1959,NA
"May 18","Kansas City","Wilbert Harrison",1959,"
I'm going to Kansas City
Kansas City here I come
I'm going to Kansas City
Kansas City here I come
They got a crazy way of loving there
And I'm gonna get me someI'll be standing on the corner
On the corner of Twelfth Street and Vine
I'm gonna be standing on the corner
On the corner of Twelfth Street and Vine
With my Kansas City baby
And a bottle of Kansas City wineWell I might take a train
I might take a plane
But if I have to walk
I'm gonna get there just the same
I'm going to Kansas City
Kansas City here I come
They got a crazy way of loving there
And I'm gonna get me someI'm gonna pack my clothes
Leave at the break of dawn
I'm gonna pack my clothes
Everybody will be sleeping
Nobody will know where I've gone
Cause if I stay in town
I know I'm gonna die
Gotta find a friendly city
And that's the reason why
I'm going to Kansas City
Kansas City here I come
They got a crazy way of loving there
And I'm gonna get me some
"
"June 1","The Battle of New Orleans","Johnny Horton",1959,"

In 1814 we took a little trip
Along with Colonel Jackson down the mighty Mississip
We took a little bacon and we took a little beans
And we caught the bloody British in the town of New Orleans
We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico
We looked down the river and we seen the British come
And there must have been a hunnerd of 'em beatin on the drum
They stepped so high and they made their bugles ring
We stood beside our cotton bales 'n' didn't say a thing
We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico
Old Hickory said we could take 'em by surprise
If we didn't fire our muskets till we looked 'em in the eye
We held our fire 'till we seed their faces well
Then we opened up the squirrel guns and really gave em
Well we
Fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico
Yeah they ran through the briars and they ran through the brambles
And they ran through the bushes where a rabbit couldn't go
They ran so fast that the hounds couldn't catch 'em
On down the Mississippi to the Gulf of Mexico
We fired our cannon till the barrel melted down
So we grabbed an alligator and we fought another round
We filled his head with cannonballs and powered his behind
And when we touched the powder off the gator lost his mind
We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico
Yeah they ran through the briars and they ran through the brambles
And they ran through the bushes where a rabbit couldn't go
They ran so fast that the hounds couldn't catch 'em
On down the Mississippi to the Gulf of Mexico
Hup, 2, 3, 4
Sound off, 3, 4
Hup, 2, 3, 4
Sound off, 3, 4
Hup, 2, 3, 4
Sound off, 3, 4
"
"July 13","Lonely Boy","Paul Anka",1959,"

I'm just a lonely boy
Lonely and blue
I'm all alone
With nothin' to do
I've got everything
You could think of
But all I want
Is someone to love
Someone, yes, someone to love
Someone to kiss
Someone to hold
At a moment like this
I'd like to hear
Somebody say
I'll give you my love
Each night and day
I'm just a lonely boy
Lonely and blue
I'm all alone
With nothin' to do
I've got everything
You could think of
But all I want
Is someone to love
Somebody, somebody
Somebody, please
Send her to me
I'll make her happy
Just wait and see
I prayed so hard
To the heavens above
That I might find
Someone to love
I'm just a lonely boy
lonely and blue
I'm all alone
With nothin' to do
I've got everything
You could think of
But all I want
Is someone to love
"
"August 10","A Big Hunk o' Love","Elvis Presley",1959,"

Hey baby, I ain't askin' much of you
No no no no no no no no baby, I ain't askin' much of you
Just a big-a big-a hunk o' love will do
Don't be a stingy little mama
You're 'bout to starve me half to death
Well you can spare a kiss or two and
Still have plenty left, no no no
Baby, I ain't askin' much of you
Just a big-a big-a hunk o' love will do
You're just a natural born beehive
Filled with honey to the top
Well I ain't greedy baby
All I want is all you got, no no no
Baby, I ain't askin' much of you
Just a big-a big-a hunk o' love will do
I got wishbone in my pocket
I got a rabbit's foot 'round my wrist
You know I'd have all the things these lucky charms could bring
If you'd give me just one sweet kiss, no no no no no no no
Baby, I ain't askin' much of you
Just a big-a big-a hunk o' love will do
"
