"issue.date","song","artist","year"
"January 5","The Chipmunk Song (Christmas Don't Be Late) (Classic Version)","Alvin and the Chipmunks","1959"
"January 19","Smoke Gets in Your Eyes","The Platters","1959"
"February 9","Stagger Lee","The Youngbloods","1959"
"March 9","Venus","Barry Manilow","1959"
"April 13","Come Softly to Me","Bobby Vinton","1959"
"May 11","The Happy Organ","Dave ""Baby"" Cortez","1959"
"May 18","Kansas City","Wilbert Harrison","1959"
"June 1","The Battle of New Orleans","Johnny Horton","1959"
"July 13","Lonely Boy","Paul Anka","1959"
"August 10","A Big Hunk o' Love","Elvis Presley","1959"
"August 24","The Three Bells","Roy Orbison","1959"
"September 21","Sleep Walk","Santo & Johnny","1959"
"October 5","Mack the Knife","Bobby Darin","1959"
"November 16","Mr. Blue","Bobby Vinton","1959"
"December 14","Heartaches by the Number","Ray Price","1959"
"December 28","Why","Frankie Avalon","1959"
"January 4","El Paso","Marty Robbins","1960"
"January 18","Running Bear","The Youngbloods","1960"
"February 8","Teen Angel","Mark Dinning","1960"
"February 22","Theme from A Summer Place","Percy Faith","1960"
"April 25","Stuck on You","Elvis Presley","1960"
"May 23","Cathy's Clown","The Everly Brothers","1960"
"June 27","Everybody's Somebody's Fool","Connie Francis","1960"
"July 11","Alley Oop","The Beach Boys","1960"
"July 18","I'm Sorry","Brenda Lee","1960"
"August 8","Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini","Brian Hyland","1960"
"August 15","It's Now or Never","Elvis Presley","1960"
"September 19","The Twist","Chubby Checker","1960"
"September 26","My Heart Has a Mind of Its Own","Connie Francis","1960"
"October 10","Mr. Custer","Larry Verne","1960"
"October 17","Save the Last Dance for Me","The Drifters","1960"
"October 24","I Want to Be Wanted","Brenda Lee","1960"
"November 14","Georgia on My Mind","Ray Charles","1960"
"November 21","Stay","The Four Seasons","1960"
"November 28","Are You Lonesome Tonight?","Elvis Presley","1960"
"January 9","Wonderland by Night","Engelbert Humperdinck","1961"
"January 30","Will You Love Me Tomorrow","Carole King","1961"
"February 13","Calcutta","Lawrence Welk","1961"
"February 27","Pony Time","Chubby Checker","1961"
"March 20","Surrender","Elvis Presley","1961"
"April 3","Blue Moon","Frank Sinatra","1961"
"April 24","Runaway","Del Shannon","1961"
"May 22","Mother-in-Law","Herman's Hermits","1961"
"May 29","Travelin' Man","Ricky Nelson","1961"
"June 5","Running Scared","Roy Orbison","1961"
"June 19","Moody River","Frank Sinatra","1961"
"June 26","Quarter to Three","U.S. Bonds","1961"
"July 10","Tossin' and Turnin'","The Marvelettes","1961"
"August 28","Wooden Heart","Bobby Vinton","1961"
"September 4","Michael","The Highwaymen","1961"
"September 18","Take Good Care of My Baby","Bobby Vee","1961"
"October 9","Hit the Road Jack","Ray Charles","1961"
