"issue.date","song","artist","year"
"January 5","""The Chipmunk Song""","The Chipmunks with David Seville",1959
"January 12","""The Chipmunk Song""","The Chipmunks with David Seville",1959
"January 19","""Smoke Gets in Your Eyes""","The Platters",1959
"January 26","""Smoke Gets in Your Eyes""","The Platters",1959
"February 2","""Smoke Gets in Your Eyes""","The Platters",1959
"February 9","""Stagger Lee""","Lloyd Price",1959
"February 16","""Stagger Lee""","Lloyd Price",1959
"February 23","""Stagger Lee""","Lloyd Price",1959
"March 2","""Stagger Lee""","Lloyd Price",1959
"March 9","""Venus""","Frankie Avalon",1959
"March 16","""Venus""","Frankie Avalon",1959
"March 23","""Venus""","Frankie Avalon",1959
"March 30","""Venus""","Frankie Avalon",1959
"April 6","""Venus""","Frankie Avalon",1959
"April 13","""Come Softly to Me""","The Fleetwoods",1959
"April 20","""Come Softly to Me""","The Fleetwoods",1959
"April 27","""Come Softly to Me""","The Fleetwoods",1959
"May 4","""Come Softly to Me""","The Fleetwoods",1959
"May 11","""The Happy Organ""","Dave ""Baby"" Cortez",1959
"May 18","""Kansas City""","Wilbert Harrison",1959
"May 25","""Kansas City""","Wilbert Harrison",1959
"June 1","""The Battle of New Orleans""","Johnny Horton",1959
"June 8","""The Battle of New Orleans""","Johnny Horton",1959
"June 15","""The Battle of New Orleans""","Johnny Horton",1959
"June 22","""The Battle of New Orleans""","Johnny Horton",1959
"June 29","""The Battle of New Orleans""","Johnny Horton",1959
"July 6","""The Battle of New Orleans""","Johnny Horton",1959
"July 13","""Lonely Boy""","Paul Anka",1959
"July 20","""Lonely Boy""","Paul Anka",1959
"July 27","""Lonely Boy""","Paul Anka",1959
"August 3","""Lonely Boy""","Paul Anka",1959
"August 10","""A Big Hunk o' Love""","Elvis Presley",1959
"August 17","""A Big Hunk o' Love""","Elvis Presley",1959
"August 24","""The Three Bells""","The Browns",1959
"August 31","""The Three Bells""","The Browns",1959
"September 7","""The Three Bells""","The Browns",1959
"September 14","""The Three Bells""","The Browns",1959
"September 21","""Sleep Walk""","Santo & Johnny",1959
"September 28","""Sleep Walk""","Santo & Johnny",1959
"October 5","""Mack the Knife""","Bobby Darin",1959
"October 12","""Mack the Knife""","Bobby Darin",1959
"October 19","""Mack the Knife""","Bobby Darin",1959
"October 26","""Mack the Knife""","Bobby Darin",1959
"November 2","""Mack the Knife""","Bobby Darin",1959
"November 9","""Mack the Knife""","Bobby Darin",1959
"November 16","""Mr. Blue""","The Fleetwoods",1959
"November 23","""Mack the Knife""","Bobby Darin",1959
"November 30","""Mack the Knife""","Bobby Darin",1959
"December 7","""Mack the Knife""","Bobby Darin",1959
"December 14","""Heartaches by the Number""","Guy Mitchell",1959
"December 21","""Heartaches by the Number""","Guy Mitchell",1959
"December 28","""Why""","Frankie Avalon",1959
"January 4","""El Paso""","Marty Robbins",1960
"January 11","""El Paso""","Marty Robbins",1960
"January 18","""Running Bear""","Johnny Preston",1960
"January 25","""Running Bear""","Johnny Preston",1960
"February 1","""Running Bear""","Johnny Preston",1960
"February 8","""Teen Angel""","Mark Dinning",1960
"February 15","""Teen Angel""","Mark Dinning",1960
"February 22","""Theme from A Summer Place""","Percy Faith",1960
"February 29","""Theme from A Summer Place""","Percy Faith",1960
"March 7","""Theme from A Summer Place""","Percy Faith",1960
"March 14","""Theme from A Summer Place""","Percy Faith",1960
"March 21","""Theme from A Summer Place""","Percy Faith",1960
"March 28","""Theme from A Summer Place""","Percy Faith",1960
"April 4","""Theme from A Summer Place""","Percy Faith",1960
"April 11","""Theme from A Summer Place""","Percy Faith",1960
